line_no,labels
1600,OBFUSCATED_PAYLOAD;SQL_INJECTION
1601,OBFUSCATED_PAYLOAD;SQL_INJECTION;WEB_SCANNER
1602,OBFUSCATED_PAYLOAD;SQL_INJECTION
1603,OBFUSCATED_PAYLOAD;SQL_INJECTION
1604,OBFUSCATED_PAYLOAD;SQL_INJECTION
1605,OBFUSCATED_PAYLOAD;SQL_INJECTION
1606,OBFUSCATED_PAYLOAD;SQL_INJECTION
1607,OBFUSCATED_PAYLOAD;SQL_INJECTION
1608,OBFUSCATED_PAYLOAD;SQL_INJECTION
1609,OBFUSCATED_PAYLOAD;SQL_INJECTION;WEB_SCANNER
1610,OBFUSCATED_PAYLOAD;SQL_INJECTION
1611,SQL_INJECTION
1612,SQL_INJECTION
1613,OBFUSCATED_PAYLOAD;SQL_INJECTION
1614,OBFUSCATED_PAYLOAD;SQL_INJECTION
1615,OBFUSCATED_PAYLOAD;SQL_INJECTION
1616,OBFUSCATED_PAYLOAD;SQL_INJECTION
1617,OBFUSCATED_PAYLOAD;SQL_INJECTION;WEB_SCANNER
1618,OBFUSCATED_PAYLOAD;SQL_INJECTION
1619,OBFUSCATED_PAYLOAD;XSS
1620,OBFUSCATED_PAYLOAD;XSS
1621,OBFUSCATED_PAYLOAD;XSS
1622,OBFUSCATED_PAYLOAD;XSS
1623,OBFUSCATED_PAYLOAD;XSS
1624,OBFUSCATED_PAYLOAD;XSS
1625,OBFUSCATED_PAYLOAD;XSS
1626,OBFUSCATED_PAYLOAD;XSS
1627,OBFUSCATED_PAYLOAD;XSS
1628,OBFUSCATED_PAYLOAD;XSS
1629,OBFUSCATED_PAYLOAD;XSS
1630,OBFUSCATED_PAYLOAD;XSS
1631,PATH_TRAVERSAL
1632,OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1633,PATH_TRAVERSAL
1634,OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1635,PATH_TRAVERSAL
1636,OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1637,PATH_TRAVERSAL
1638,OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1639,COMMAND_INJECTION;OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1640,COMMAND_INJECTION;OBFUSCATED_PAYLOAD
1641,COMMAND_INJECTION;OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1642,COMMAND_INJECTION;OBFUSCATED_PAYLOAD
1643,COMMAND_INJECTION;OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1644,COMMAND_INJECTION;OBFUSCATED_PAYLOAD
1645,COMMAND_INJECTION;OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1646,COMMAND_INJECTION;OBFUSCATED_PAYLOAD
1647,WEB_SCANNER
1648,WEB_SCANNER
1649,WEB_SCANNER
1650,WEB_SCANNER
1651,WEB_SCANNER
1653,WEB_SCANNER
1655,WEB_SCANNER
1656,WEB_SCANNER
1657,WEB_SCANNER
1658,WEB_SCANNER
1662,WEB_SCANNER
1663,WEB_SCANNER
1664,WEB_SCANNER
1665,WEB_SCANNER
1666,WEB_SCANNER
1667,WEB_SCANNER
1668,WEB_SCANNER
1671,WEBSHELL_UPLOAD
1672,WEBSHELL_UPLOAD
1673,WEBSHELL_UPLOAD
1674,WEBSHELL_UPLOAD
1675,WEBSHELL_UPLOAD
1676,WEBSHELL_UPLOAD
1677,BLACKLIST
1678,BLACKLIST
1679,BLACKLIST
1680,BLACKLIST
1681,BLACKLIST
1686,BRUTE_FORCE
1693,BRUTE_FORCE
1707,REQUEST_BURST
1723,REQUEST_BURST
1733,PORT_SCAN
1740,PORT_SCAN
1743,WEB_SCANNER
1744,WEB_SCANNER
1745,WEB_SCANNER
1746,OBFUSCATED_PAYLOAD;SQL_INJECTION;WEB_SCANNER
1747,WEBSHELL_UPLOAD
1748,COMMAND_INJECTION;OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
1749,WEB_SCANNER
1750,WEB_SCANNER
1751,WEB_SCANNER
1752,OBFUSCATED_PAYLOAD;SQL_INJECTION;WEB_SCANNER
1753,WEBSHELL_UPLOAD
1754,COMMAND_INJECTION;OBFUSCATED_PAYLOAD;PATH_TRAVERSAL
2740,BRUTE_FORCE
2747,PORT_SCAN
2748,COMMAND_INJECTION
2749,COMMAND_INJECTION
2750,COMMAND_INJECTION
2751,COMMAND_INJECTION
2752,COMMAND_INJECTION
2753,SQL_INJECTION
2754,SQL_INJECTION
2755,SQL_INJECTION
